TwonHalfDecade,Decorative Art,Drawing,Painting,Photograph,Portfolio,Print,Sculpture,TechnicalMaterial,TimeBasedMediaArt,Volume
1500,22,1,0,0,0,0,0,0,0,0
1525,27,3,0,0,0,0,0,0,0,0
1550,41,0,1,0,0,0,0,0,0,0
1575,11,0,0,0,0,0,0,0,0,0
1600,9,0,1,0,0,0,0,0,0,0
1625,1,0,1,0,0,0,0,0,0,0
1650,13,0,9,0,0,0,0,0,0,0
1675,0,0,5,0,0,0,0,0,0,0
1700,7,1,1,0,0,0,0,0,0,0
1725,2,0,2,0,0,0,0,0,0,0
1750,9,0,4,0,0,1,1,0,0,0
1775,12,3,10,0,0,4,0,0,0,0
1800,10,12,23,0,0,837,1,1,0,56
1825,0,22,21,0,0,59,10,1,0,0
1850,0,111,48,3,2,676,20,0,0,1
1875,2,296,96,700,0,181,118,0,0,9
1900,14,180,74,12,1,798,56,0,0,2
1925,0,246,75,125,1,465,131,0,0,5
1950,0,130,56,378,4,375,110,0,0,4
1975,3,225,84,856,4,281,76,0,3,16
2000,0,45,20,467,4,168,20,0,9,4
2025,0,0,0,0,0,0,0,0,0,0
