TwonHalfDecade,DecorativeArt,Drawing,IndexOfAmericanDesign,Painting,Photograph,Portfolio,Print,Sculpture,TechnicalMaterial,TimeBasedMediaArt,Volume
1500,0,45,0,12,0,0,111,34,0,0,32
1525,0,88,0,25,0,0,176,33,1,0,24
1550,2,41,0,13,0,0,158,63,0,0,32
1575,2,331,0,8,0,1,224,50,0,0,38
1600,4,81,0,13,0,1,514,46,0,0,34
1625,3,92,0,56,0,1,958,30,0,0,37
1650,0,83,0,85,0,0,934,26,3,0,67
1675,1,49,0,44,0,2,94,57,2,0,57
1700,4,59,0,14,0,0,226,34,0,0,77
1725,20,111,0,41,0,1,248,34,0,0,135
1750,14,172,0,56,0,1,1241,32,0,0,190
1775,0,202,0,97,0,6,1978,28,0,0,185
1800,21,312,0,164,0,3,364,26,0,0,121
1825,5,206,0,213,0,5,748,51,0,0,71
1850,7,272,0,201,540,5,646,52,0,0,46
1875,1,299,0,282,752,5,887,55,0,0,57
1900,14,1090,0,291,473,31,1659,97,11,0,137
1925,13,1009,0,238,1214,25,2509,70,21,0,193
1950,8,1568,38,331,2125,43,2026,77,50,0,93
1975,11,3047,1,249,2949,189,6558,313,30,7,363
2000,9,693,0,86,2246,113,2102,148,70,21,106
2025,3,33,0,41,260,7,62,22,0,6,10
